TIME,SEQUENCE NUMBER,PROCESSING TIME
Sun Aug 16 2020 16:31:04 GMT+0400 (Gulf Standard Time),57546558,2944
Sun Aug 16 2020 16:31:07 GMT+0400 (Gulf Standard Time),57546559,3074
Sun Aug 16 2020 16:31:13 GMT+0400 (Gulf Standard Time),57546560,6131
Sun Aug 16 2020 16:31:16 GMT+0400 (Gulf Standard Time),57546561,2700
Sun Aug 16 2020 16:31:19 GMT+0400 (Gulf Standard Time),57546562,3057
Sun Aug 16 2020 16:31:22 GMT+0400 (Gulf Standard Time),57546563,2946
Sun Aug 16 2020 16:31:28 GMT+0400 (Gulf Standard Time),57546564,6204
Sun Aug 16 2020 16:31:31 GMT+0400 (Gulf Standard Time),57546565,3051
Sun Aug 16 2020 16:31:34 GMT+0400 (Gulf Standard Time),57546566,2817
Sun Aug 16 2020 16:31:37 GMT+0400 (Gulf Standard Time),57546567,2964
Sun Aug 16 2020 16:31:43 GMT+0400 (Gulf Standard Time),57546568,6195
Sun Aug 16 2020 16:31:46 GMT+0400 (Gulf Standard Time),57546569,2784
Sun Aug 16 2020 16:31:49 GMT+0400 (Gulf Standard Time),57546570,2997
Sun Aug 16 2020 16:31:55 GMT+0400 (Gulf Standard Time),57546571,6259
Sun Aug 16 2020 16:31:58 GMT+0400 (Gulf Standard Time),57546572,2898
Sun Aug 16 2020 16:32:01 GMT+0400 (Gulf Standard Time),57546573,3015
Sun Aug 16 2020 16:32:07 GMT+0400 (Gulf Standard Time),57546574,6008
Sun Aug 16 2020 16:32:10 GMT+0400 (Gulf Standard Time),57546575,3084
Sun Aug 16 2020 16:32:13 GMT+0400 (Gulf Standard Time),57546576,2966
Sun Aug 16 2020 16:32:16 GMT+0400 (Gulf Standard Time),57546577,3250
Sun Aug 16 2020 16:32:22 GMT+0400 (Gulf Standard Time),57546578,5749
Sun Aug 16 2020 16:32:25 GMT+0400 (Gulf Standard Time),57546579,2947
Sun Aug 16 2020 16:32:28 GMT+0400 (Gulf Standard Time),57546580,3118
Sun Aug 16 2020 16:32:34 GMT+0400 (Gulf Standard Time),57546581,5913
Sun Aug 16 2020 16:32:37 GMT+0400 (Gulf Standard Time),57546582,3083
Sun Aug 16 2020 16:32:40 GMT+0400 (Gulf Standard Time),57546583,2735
